# All_xvalues,All_yvalues,CE_xvalues,CE_yvalues,stable_xvalues,stable_yvalues,lowZ_xvalues,lowZ_yvalues,midZ_xvalues,midZ_yvalues,highZ_xvalues,highZ_yvalues
1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00
2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00
3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00
5.145322575168460519e-03,1.322982018000927740e-01,5.145322575168460519e-03,1.322982018000927740e-01,5.145322575168460519e-03,0.000000000000000000e+00,5.145322575168460519e-03,0.000000000000000000e+00,5.145322575168460519e-03,1.322982018000927740e-01,5.145322575168460519e-03,0.000000000000000000e+00
8.154786722400979987e-03,8.638715602711604546e+00,8.154786722400979987e-03,8.412037466653691453e+00,8.154786722400979987e-03,2.266781360579105120e-01,8.154786722400979987e-03,8.148732482707876201e+00,8.154786722400979987e-03,4.899831200037277901e-01,8.154786722400979987e-03,0.000000000000000000e+00
1.292446596230559588e-02,2.671982833812369336e+02,1.292446596230559588e-02,2.669005674717552665e+02,1.292446596230559588e-02,2.977159094815580165e-01,1.292446596230559588e-02,2.664706494699852897e+02,1.292446596230559588e-02,7.276339112516939656e-01,1.292446596230559588e-02,0.000000000000000000e+00
2.048389811985352332e-02,2.373202252751335664e+02,2.048389811985352332e-02,2.368067316790272798e+02,2.048389811985352332e-02,5.134935961058524345e-01,2.048389811985352332e-02,2.333830262787534195e+02,2.048389811985352332e-02,3.937198996380218752e+00,2.048389811985352332e-02,0.000000000000000000e+00
3.246479068522285794e-02,4.912989012663707911e+01,3.246479068522285794e-02,4.902556958730638570e+01,3.246479068522285794e-02,1.043205393306418372e-01,3.246479068522285794e-02,4.528589238585154675e+01,3.246479068522285794e-02,3.843997740785423556e+00,3.246479068522285794e-02,0.000000000000000000e+00
5.145322575168470580e-02,2.662587071565443964e+01,5.145322575168470580e-02,2.652702450911922227e+01,5.145322575168470580e-02,9.884620653527803613e-02,5.145322575168470580e-02,2.407702485791640612e+01,5.145322575168470580e-02,2.548845857738098797e+00,5.145322575168470580e-02,0.000000000000000000e+00
8.154786722400997334e-02,1.692185218895394527e+01,8.154786722400997334e-02,1.683649447113922193e+01,8.154786722400997334e-02,8.535771781461290453e-02,8.154786722400997334e-02,1.539353563933353719e+01,8.154786722400997334e-02,1.528316549620445386e+00,8.154786722400997334e-02,0.000000000000000000e+00
1.292446596230562295e-01,1.057241588559891987e+01,1.292446596230562295e-01,1.050862221824804799e+01,1.292446596230562295e-01,6.379366735088347340e-02,1.292446596230562295e-01,9.791017621163677020e+00,1.292446596230562295e-01,7.813982644352442941e-01,1.292446596230562295e-01,0.000000000000000000e+00
2.048389811985356634e-01,6.431043630483573637e+00,2.048389811985356634e-01,6.395693302577174499e+00,2.048389811985356634e-01,3.535032790638598099e-02,2.048389811985356634e-01,5.976825828775326421e+00,2.048389811985356634e-01,4.542178017082224573e-01,2.048389811985356634e-01,0.000000000000000000e+00
3.246479068522293288e-01,3.935285940634102086e+00,3.246479068522293288e-01,3.752122467123741423e+00,3.246479068522293288e-01,1.831634735103514489e-01,3.246479068522293288e-01,3.569594874803245776e+00,3.246479068522293288e-01,3.656910658308568096e-01,3.246479068522293288e-01,0.000000000000000000e+00
5.145322575168480572e-01,2.465563157113550119e+00,5.145322575168480572e-01,2.159883674068956427e+00,5.145322575168480572e-01,3.056794830445926925e-01,5.145322575168480572e-01,2.235991826462232268e+00,5.145322575168480572e-01,2.295713306513095797e-01,5.145322575168480572e-01,0.000000000000000000e+00
8.154786722401015098e-01,1.462663031486410192e+00,8.154786722401015098e-01,1.157203625196197239e+00,8.154786722401015098e-01,3.054594062902142304e-01,8.154786722401015098e-01,1.343021640515799975e+00,8.154786722401015098e-01,1.196413909706141587e-01,8.154786722401015098e-01,0.000000000000000000e+00
1.292446596230564904e+00,9.943834643570896858e-01,1.292446596230564904e+00,7.215021300044753838e-01,1.292446596230564904e+00,2.728813343526140800e-01,1.292446596230564904e+00,9.151950203778954629e-01,1.292446596230564904e+00,7.918844397919677647e-02,1.292446596230564904e+00,0.000000000000000000e+00
