# All_xvalues,All_yvalues,CE_xvalues,CE_yvalues,stable_xvalues,stable_yvalues,lowZ_xvalues,lowZ_yvalues,midZ_xvalues,midZ_yvalues,highZ_xvalues,highZ_yvalues
1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00
2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00
3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00
5.145322575168460519e-03,8.605439364630483590e-02,5.145322575168460519e-03,8.605439364630483590e-02,5.145322575168460519e-03,0.000000000000000000e+00,5.145322575168460519e-03,6.780189246874611386e-02,5.145322575168460519e-03,5.267130261410195649e-03,5.145322575168460519e-03,1.298537091614852465e-02
8.154786722400979987e-03,3.002971349546164248e+01,8.154786722400979987e-03,2.812772082016783770e+01,8.154786722400979987e-03,1.901992675293800339e+00,8.154786722400979987e-03,2.533942909552462197e+01,8.154786722400979987e-03,4.162292410266856812e+00,8.154786722400979987e-03,5.279919896701520399e-01
1.292446596230559588e-02,1.733973798261195043e+02,1.292446596230559588e-02,1.713536807834866238e+02,1.292446596230559588e-02,2.043699042632958651e+00,1.292446596230559588e-02,1.626188689466761446e+02,1.292446596230559588e-02,1.053106488571656030e+01,1.292446596230559588e-02,2.474459937267565190e-01
2.048389811985352332e-02,1.761289039447179618e+02,2.048389811985352332e-02,1.751081461618671540e+02,2.048389811985352332e-02,1.020757782850805873e+00,2.048389811985352332e-02,1.617951675706168828e+02,2.048389811985352332e-02,1.420156408080959665e+01,2.048389811985352332e-02,1.321722932914972393e-01
3.246479068522285794e-02,1.006941175958734647e+02,3.246479068522285794e-02,9.952320608658114054e+01,3.246479068522285794e-02,1.170911509292393182e+00,3.246479068522285794e-02,8.820322171495439534e+01,3.246479068522285794e-02,1.231443801672729776e+01,3.246479068522285794e-02,1.764578641919072322e-01
5.145322575168470580e-02,5.747906201077736199e+01,5.145322575168470580e-02,5.652264795427084465e+01,5.145322575168470580e-02,9.564140565065576416e-01,5.145322575168470580e-02,4.791872161106189765e+01,5.145322575168470580e-02,9.368062435535293275e+00,5.145322575168470580e-02,1.922779641801958261e-01
8.154786722400997334e-02,3.265189973375884591e+01,8.154786722400997334e-02,3.192303263920963374e+01,8.154786722400997334e-02,7.288670945492004005e-01,8.154786722400997334e-02,2.639143335828158854e+01,8.154786722400997334e-02,6.062157262886254117e+00,8.154786722400997334e-02,1.983091125910582952e-01
1.292446596230562295e-01,1.838531883921364241e+01,1.292446596230562295e-01,1.780658353082244005e+01,1.292446596230562295e-01,5.787353083912170071e-01,1.292446596230562295e-01,1.456990610858769308e+01,1.292446596230562295e-01,3.577380628018758557e+00,1.292446596230562295e-01,2.380321026071825496e-01
2.048389811985356634e-01,1.044481788583769521e+01,2.048389811985356634e-01,9.911738451504724878e+00,2.048389811985356634e-01,5.330794343329736673e-01,2.048389811985356634e-01,8.098688583284884501e+00,2.048389811985356634e-01,2.171074908370390411e+00,2.048389811985356634e-01,1.750543941824007077e-01
3.246479068522293288e-01,5.972210984280149404e+00,3.246479068522293288e-01,5.540752452040259790e+00,3.246479068522293288e-01,4.314585322398785672e-01,3.246479068522293288e-01,4.668401848125533604e+00,3.246479068522293288e-01,1.132637849976715794e+00,3.246479068522293288e-01,1.711712861779092487e-01
5.145322575168480572e-01,3.458807783658405466e+00,5.145322575168480572e-01,3.101744994115319454e+00,5.145322575168480572e-01,3.570627895431048304e-01,5.145322575168480572e-01,2.677374049210862417e+00,5.145322575168480572e-01,6.623427916718042097e-01,5.145322575168480572e-01,1.190909427757268213e-01
8.154786722401015098e-01,2.048146662253148786e+00,8.154786722401015098e-01,1.713078399376543270e+00,8.154786722401015098e-01,3.350682628766141202e-01,8.154786722401015098e-01,1.545776658833887263e+00,8.154786722401015098e-01,4.078415009240058953e-01,8.154786722401015098e-01,9.452850249526838222e-02
1.292446596230564904e+00,1.158732018135199215e+00,1.292446596230564904e+00,9.036094441532173116e-01,1.292446596230564904e+00,2.551225739819729665e-01,1.292446596230564904e+00,8.708363377695145235e-01,1.292446596230564904e+00,2.350216884266989048e-01,1.292446596230564904e+00,5.287399193897948657e-02
